region,age,age_group,gender,language,education,income,response
Kyiv City,98,65+,male,russian,primary,>240000,stay
Ivano-Frankivsk Oblast,21,16-24,male,ukrainian,masters-or-higher,>240000,different
Odessa,16,16-24,female,russian,secondary,>240000,stay
Kyiv City,98,65+,male,ukrainian,masters-or-higher,>240000,different
Kyiv City,25,25-34,male,ukrainian,primary,>240000,different
Volyn,18,16-24,male,russian,masters-or-higher,>240000,stay
Luhansk,35,35-44,male,russian,masters-or-higher,>240000,flee
Transcarpathia,35,35-44,male,ukrainian,masters-or-higher,>240000,stay
Khmelnytskyi Oblast,19,16-24,male,ukrainian,masters-or-higher,>240000,different
Odessa,28,25-34,male,ukrainian,primary,>240000,different
Mykolayiv Oblast,42,35-44,male,ukrainian,masters-or-higher,>240000,stay
Sumy,23,16-24,female,russian,masters-or-higher,>240000,different
Vinnytsya Oblast,50,45-54,female,russian,masters-or-higher,>240000,flee
Kyiv Oblast,25,25-34,female,ukrainian,masters-or-higher,>240000,flee
Transcarpathia,36,35-44,female,ukrainian,secondary,>240000,flee
Lviv Oblast,98,65+,male,ukrainian,masters-or-higher,>240000,different
Odessa,25,25-34,male,ukrainian,masters-or-higher,>240000,stay
Chernivtsi Oblast,42,35-44,female,ukrainian,secondary,>240000,stay
Dnipropetrovsk Oblast,19,16-24,female,russian,masters-or-higher,>240000,different
Kyiv City,16,16-24,male,russian,secondary,>240000,stay
Khmelnytskyi Oblast,56,55-64,male,russian,primary,>240000,different
Kyiv City,46,45-54,male,russian,masters-or-higher,>240000,flee
Kyiv City,45,45-54,male,russian,masters-or-higher,>240000,different
Donetsk Oblast,27,25-34,male,russian,secondary,>240000,flee
Lviv Oblast,21,16-24,male,ukrainian,post-secondary,>240000,stay
Zhytomyr,98,65+,female,russian,masters-or-higher,>240000,flee
Lviv Oblast,56,55-64,male,ukrainian,primary,>240000,stay
Poltava Oblast,35,35-44,male,ukrainian,masters-or-higher,>240000,stay
Donetsk Oblast,98,65+,male,russian,masters-or-higher,>240000,flee
Kyiv City,47,45-54,male,russian,bachelors,>240000,different
Dnipropetrovsk Oblast,24,16-24,male,russian,primary,>240000,flee
Kyiv City,57,55-64,male,ukrainian,secondary,>240000,stay
Kyiv City,37,35-44,male,ukrainian,masters-or-higher,>240000,flee
Dnipropetrovsk Oblast,48,45-54,male,russian,masters-or-higher,>240000,different
Sebastopol City,17,16-24,female,russian,masters-or-higher,>240000,different
Kyiv Oblast,33,25-34,male,ukrainian,masters-or-higher,>240000,flee
Kharkiv,48,45-54,male,russian,masters-or-higher,>240000,flee
Transcarpathia,33,25-34,female,ukrainian,masters-or-higher,>240000,different
Kharkiv,98,65+,male,ukrainian,masters-or-higher,>240000,flee
Kyiv Oblast,22,16-24,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,16,16-24,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,23,16-24,female,ukrainian,masters-or-higher,>240000,stay
Dnipropetrovsk Oblast,25,25-34,male,ukrainian,bachelors,>240000,flee
Ternopil Oblast,28,25-34,female,ukrainian,masters-or-higher,>240000,stay
Vinnytsya Oblast,45,45-54,male,ukrainian,masters-or-higher,>240000,stay
Lviv Oblast,24,16-24,male,russian,bachelors,>240000,stay
Sebastopol City,27,25-34,male,russian,primary,>240000,flee
Poltava Oblast,16,16-24,female,ukrainian,masters-or-higher,>240000,stay
Kyiv City,36,35-44,female,ukrainian,masters-or-higher,>240000,different
Mykolayiv Oblast,39,35-44,male,russian,masters-or-higher,>240000,flee
Dnipropetrovsk Oblast,98,65+,female,russian,primary,>240000,flee
Odessa,16,16-24,female,russian,masters-or-higher,>240000,different
Cherkasy Oblast,98,65+,male,ukrainian,masters-or-higher,>240000,different
Zaporizhzhya Oblast,64,55-64,male,russian,masters-or-higher,>240000,different
Donetsk Oblast,32,25-34,male,russian,masters-or-higher,>240000,different
Vinnytsya Oblast,32,25-34,female,ukrainian,masters-or-higher,>240000,stay
Luhansk,47,45-54,male,russian,bachelors,>240000,stay
Odessa,98,65+,male,russian,masters-or-higher,>240000,flee
Donetsk Oblast,37,35-44,male,russian,masters-or-higher,>240000,different
Vinnytsya Oblast,27,25-34,male,ukrainian,masters-or-higher,>240000,different
Khmelnytskyi Oblast,49,45-54,male,russian,bachelors,>240000,flee
Dnipropetrovsk Oblast,26,25-34,male,ukrainian,bachelors,>240000,flee
Odessa,98,65+,female,russian,masters-or-higher,>240000,stay
Kyiv City,18,16-24,male,ukrainian,bachelors,>240000,different
Kyiv City,43,35-44,male,ukrainian,masters-or-higher,>240000,flee
Dnipropetrovsk Oblast,30,25-34,male,ukrainian,primary,>240000,flee
Kyiv City,36,35-44,male,ukrainian,masters-or-higher,>240000,stay
Odessa,24,16-24,female,russian,masters-or-higher,>240000,flee
Donetsk Oblast,34,25-34,male,russian,secondary,>240000,flee
Kyiv City,18,16-24,male,ukrainian,secondary,>240000,stay
Poltava Oblast,29,25-34,male,ukrainian,masters-or-higher,>240000,flee
Rivne,20,16-24,male,ukrainian,post-secondary,>240000,stay
Kherson Oblast,34,25-34,male,russian,masters-or-higher,>240000,different
Ivano-Frankivsk Oblast,45,45-54,male,russian,masters-or-higher,>240000,flee
Vinnytsya Oblast,27,25-34,male,russian,bachelors,>240000,different
Dnipropetrovsk Oblast,18,16-24,male,russian,bachelors,>240000,stay
Kharkiv,31,25-34,male,ukrainian,masters-or-higher,>240000,flee
Kyiv City,47,45-54,male,ukrainian,masters-or-higher,>240000,different
Kyiv City,21,16-24,male,ukrainian,masters-or-higher,>240000,different
Sumy,16,16-24,female,ukrainian,masters-or-higher,>240000,stay
Odessa,60,55-64,male,ukrainian,masters-or-higher,>240000,stay
Dnipropetrovsk Oblast,18,16-24,male,ukrainian,masters-or-higher,>240000,stay
Zhytomyr,45,45-54,male,russian,masters-or-higher,>240000,stay
Kherson Oblast,41,35-44,female,russian,post-secondary,>240000,different
Donetsk Oblast,24,16-24,male,russian,post-secondary,>240000,flee
Crimea,45,45-54,male,russian,masters-or-higher,>240000,different
Kyiv City,45,45-54,male,russian,masters-or-higher,>240000,stay
Lviv Oblast,50,45-54,male,ukrainian,masters-or-higher,>240000,stay
Dnipropetrovsk Oblast,16,16-24,male,russian,masters-or-higher,>240000,flee
Kharkiv,33,25-34,male,russian,masters-or-higher,>240000,different
Lviv Oblast,35,35-44,male,russian,masters-or-higher,>240000,different
Chernihiv,42,35-44,male,ukrainian,post-secondary,>240000,stay
Kharkiv,19,16-24,male,russian,masters-or-higher,>240000,flee
Kyiv City,98,65+,male,ukrainian,masters-or-higher,>240000,different
Kyiv City,45,45-54,male,russian,masters-or-higher,>240000,stay
Kyiv City,24,16-24,male,russian,masters-or-higher,>240000,stay
Lviv Oblast,42,35-44,female,ukrainian,masters-or-higher,>240000,stay
Transcarpathia,35,35-44,female,ukrainian,masters-or-higher,>240000,flee
Donetsk Oblast,16,16-24,male,russian,secondary,>240000,different
Lviv Oblast,29,25-34,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,42,35-44,male,ukrainian,masters-or-higher,>240000,stay
Crimea,30,25-34,male,russian,bachelors,>240000,flee
Kharkiv,43,35-44,female,ukrainian,masters-or-higher,>240000,stay
Ternopil Oblast,37,35-44,male,ukrainian,masters-or-higher,>240000,different
Transcarpathia,44,35-44,female,ukrainian,bachelors,>240000,different
Donetsk Oblast,59,55-64,male,russian,masters-or-higher,>240000,flee
Kyiv City,35,35-44,male,russian,post-secondary,>240000,stay
Dnipropetrovsk Oblast,28,25-34,male,russian,masters-or-higher,>240000,flee
Donetsk Oblast,19,16-24,female,russian,bachelors,>240000,different
Luhansk,98,65+,male,ukrainian,masters-or-higher,>240000,stay
Zhytomyr,98,65+,male,russian,masters-or-higher,>240000,stay
Ternopil Oblast,27,25-34,male,ukrainian,masters-or-higher,>240000,different
Kharkiv,57,55-64,male,ukrainian,masters-or-higher,>240000,different
Ternopil Oblast,18,16-24,male,ukrainian,masters-or-higher,>240000,stay
Kherson Oblast,98,65+,female,ukrainian,bachelors,>240000,flee
Luhansk,34,25-34,male,russian,masters-or-higher,>240000,stay
Dnipropetrovsk Oblast,18,16-24,male,russian,bachelors,>240000,stay
Lviv Oblast,50,45-54,male,ukrainian,post-secondary,>240000,stay
Crimea,37,35-44,male,russian,masters-or-higher,>240000,different
Sebastopol City,98,65+,male,russian,masters-or-higher,>240000,flee
Crimea,98,65+,female,russian,masters-or-higher,>240000,flee
Kharkiv,39,35-44,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,98,65+,male,ukrainian,masters-or-higher,>240000,stay
Donetsk Oblast,50,45-54,male,russian,masters-or-higher,>240000,different
Zaporizhzhya Oblast,42,35-44,male,ukrainian,post-secondary,>240000,stay
Odessa,47,45-54,female,russian,masters-or-higher,>240000,different
Kyiv City,19,16-24,male,russian,bachelors,>240000,flee
Odessa,39,35-44,male,russian,secondary,>240000,flee
Ivano-Frankivsk Oblast,35,35-44,female,russian,masters-or-higher,>240000,flee
Volyn,63,55-64,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,41,35-44,male,ukrainian,masters-or-higher,>240000,different
Ternopil Oblast,34,25-34,female,ukrainian,bachelors,>240000,stay
Volyn,18,16-24,male,ukrainian,masters-or-higher,>240000,stay
Kyiv Oblast,27,25-34,male,ukrainian,post-secondary,>240000,different
Lviv Oblast,33,25-34,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,50,45-54,male,ukrainian,bachelors,>240000,different
Odessa,33,25-34,male,ukrainian,masters-or-higher,>240000,different
Kyiv City,24,16-24,male,russian,bachelors,>240000,different
Khmelnytskyi Oblast,31,25-34,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,24,16-24,female,russian,bachelors,>240000,different
Khmelnytskyi Oblast,32,25-34,male,ukrainian,masters-or-higher,>240000,stay
Vinnytsya Oblast,19,16-24,male,ukrainian,bachelors,>240000,flee
Khmelnytskyi Oblast,21,16-24,male,ukrainian,post-secondary,>240000,stay
Rivne,39,35-44,male,ukrainian,masters-or-higher,>240000,stay
Odessa,36,35-44,male,russian,masters-or-higher,>240000,stay
Odessa,64,55-64,male,russian,masters-or-higher,>240000,stay
Dnipropetrovsk Oblast,30,25-34,male,ukrainian,bachelors,>240000,different
Kyiv City,22,16-24,male,ukrainian,masters-or-higher,>240000,flee
Kyiv City,21,16-24,female,ukrainian,bachelors,>240000,stay
Lviv Oblast,48,45-54,male,russian,masters-or-higher,>240000,different
Zaporizhzhya Oblast,49,45-54,male,russian,post-secondary,>240000,different
Sebastopol City,55,55-64,male,russian,masters-or-higher,>240000,different
Zhytomyr,22,16-24,male,russian,bachelors,>240000,flee
Lviv Oblast,29,25-34,female,ukrainian,masters-or-higher,>240000,stay
Crimea,19,16-24,male,russian,masters-or-higher,>240000,stay
Cherkasy Oblast,24,16-24,male,ukrainian,bachelors,>240000,stay
Kyiv City,40,35-44,male,russian,masters-or-higher,>240000,stay
Zhytomyr,98,65+,male,ukrainian,masters-or-higher,>240000,flee
Crimea,33,25-34,male,russian,bachelors,>240000,stay
Donetsk Oblast,37,35-44,male,russian,masters-or-higher,>240000,stay
Luhansk,34,25-34,male,russian,masters-or-higher,>240000,stay
Lviv Oblast,35,35-44,male,ukrainian,masters-or-higher,>240000,flee
Kyiv City,45,45-54,male,russian,bachelors,>240000,flee
Crimea,18,16-24,male,russian,primary,>240000,different
Kyiv City,34,25-34,male,russian,masters-or-higher,>240000,flee
Kyiv City,22,16-24,female,ukrainian,bachelors,>240000,different
Kyiv City,33,25-34,female,ukrainian,masters-or-higher,>240000,stay
Ivano-Frankivsk Oblast,34,25-34,male,ukrainian,bachelors,>240000,stay
Kyiv City,58,55-64,male,russian,masters-or-higher,>240000,different
Kharkiv,64,55-64,male,russian,masters-or-higher,>240000,different
Cherkasy Oblast,24,16-24,female,ukrainian,bachelors,>240000,flee
Dnipropetrovsk Oblast,35,35-44,male,ukrainian,masters-or-higher,>240000,stay
Donetsk Oblast,21,16-24,male,russian,masters-or-higher,>240000,flee
Kyiv City,18,16-24,male,ukrainian,primary,>240000,flee
Donetsk Oblast,46,45-54,female,russian,masters-or-higher,>240000,stay
Kyiv City,24,16-24,male,ukrainian,bachelors,>240000,different
Mykolayiv Oblast,36,35-44,male,russian,masters-or-higher,>240000,stay
Cherkasy Oblast,30,25-34,female,ukrainian,bachelors,>240000,stay
Vinnytsya Oblast,23,16-24,male,ukrainian,post-secondary,>240000,different
Kyiv Oblast,21,16-24,female,ukrainian,bachelors,>240000,flee
Vinnytsya Oblast,45,45-54,male,ukrainian,masters-or-higher,>240000,different
Kyiv City,33,25-34,female,russian,bachelors,>240000,stay
Transcarpathia,44,35-44,male,ukrainian,masters-or-higher,>240000,different
Dnipropetrovsk Oblast,21,16-24,male,ukrainian,masters-or-higher,>240000,stay
Zaporizhzhya Oblast,16,16-24,male,ukrainian,secondary,>240000,different
Lviv Oblast,25,25-34,male,ukrainian,bachelors,>240000,different
Kyiv Oblast,28,25-34,male,ukrainian,masters-or-higher,>240000,different
Kyiv City,33,25-34,female,ukrainian,bachelors,>240000,stay
Kyiv City,41,35-44,male,ukrainian,masters-or-higher,>240000,stay
Kyiv City,29,25-34,male,ukrainian,masters-or-higher,>240000,different
Khmelnytskyi Oblast,31,25-34,male,ukrainian,masters-or-higher,>240000,different
Odessa,26,25-34,male,russian,post-secondary,>240000,different
Kyiv City,31,25-34,male,russian,masters-or-higher,>240000,different
Vinnytsya Oblast,23,16-24,male,ukrainian,bachelors,>240000,stay
Kyiv City,37,35-44,male,russian,masters-or-higher,>240000,flee
Lviv Oblast,45,45-54,female,ukrainian,secondary,>240000,flee
Kyiv City,25,25-34,male,ukrainian,bachelors,>240000,stay
Kyiv City,25,25-34,female,ukrainian,masters-or-higher,>240000,stay
Lviv Oblast,41,35-44,male,russian,post-secondary,>240000,flee
Kyiv City,98,65+,male,ukrainian,masters-or-higher,>240000,stay
Chernivtsi Oblast,21,16-24,male,russian,masters-or-higher,>240000,stay
Kyiv City,29,25-34,male,ukrainian,bachelors,>240000,stay
Luhansk,98,65+,male,ukrainian,masters-or-higher,>240000,different
Lviv Oblast,18,16-24,female,ukrainian,masters-or-higher,>240000,different
Zhytomyr,34,25-34,female,russian,bachelors,>240000,stay
Kirovohrad Oblast,29,25-34,male,ukrainian,bachelors,>240000,stay
Mykolayiv Oblast,33,25-34,female,russian,post-secondary,>240000,flee
Donetsk Oblast,24,16-24,male,russian,post-secondary,>240000,different
Vinnytsya Oblast,17,16-24,female,ukrainian,secondary,>240000,different
Kyiv City,35,35-44,male,russian,masters-or-higher,>240000,different
Cherkasy Oblast,32,25-34,male,ukrainian,masters-or-higher,>240000,flee
Dnipropetrovsk Oblast,18,16-24,male,russian,post-secondary,>240000,stay
Poltava Oblast,48,45-54,male,ukrainian,masters-or-higher,>240000,flee
Kyiv City,21,16-24,male,ukrainian,bachelors,>240000,flee
Kharkiv,19,16-24,female,ukrainian,secondary,>240000,flee
Kyiv Oblast,40,35-44,female,ukrainian,bachelors,>240000,stay
Kyiv City,34,25-34,female,ukrainian,bachelors,>240000,stay
Ternopil Oblast,98,65+,male,ukrainian,masters-or-higher,>240000,flee
Kyiv City,21,16-24,male,ukrainian,masters-or-higher,>240000,different
Vinnytsya Oblast,35,35-44,male,russian,primary,>240000,flee
Odessa,23,16-24,female,ukrainian,masters-or-higher,>240000,flee
Odessa,52,45-54,male,russian,masters-or-higher,>240000,flee
Kyiv Oblast,53,45-54,male,russian,bachelors,>240000,stay
Poltava Oblast,48,45-54,male,ukrainian,post-secondary,120001-240000,stay
Dnipropetrovsk Oblast,41,35-44,male,russian,post-secondary,120001-240000,different
Mykolayiv Oblast,46,45-54,male,ukrainian,masters-or-higher,120001-240000,stay
Luhansk,43,35-44,male,ukrainian,secondary,120001-240000,flee
Kyiv City,45,45-54,male,russian,bachelors,120001-240000,flee
Khmelnytskyi Oblast,40,35-44,female,ukrainian,masters-or-higher,120001-240000,different
Chernivtsi Oblast,98,65+,male,russian,masters-or-higher,120001-240000,flee
Kyiv City,29,25-34,male,ukrainian,bachelors,120001-240000,flee
Odessa,55,55-64,male,ukrainian,bachelors,120001-240000,stay
Vinnytsya Oblast,48,45-54,female,russian,post-secondary,120001-240000,stay
Dnipropetrovsk Oblast,17,16-24,male,ukrainian,bachelors,120001-240000,stay
Mykolayiv Oblast,37,35-44,male,ukrainian,bachelors,120001-240000,flee
Kyiv City,57,55-64,male,russian,masters-or-higher,120001-240000,different
Lviv Oblast,27,25-34,female,ukrainian,masters-or-higher,120001-240000,stay
Rivne,35,35-44,male,ukrainian,masters-or-higher,120001-240000,different
Kyiv Oblast,18,16-24,male,russian,bachelors,120001-240000,stay
Zaporizhzhya Oblast,42,35-44,male,russian,bachelors,120001-240000,stay
Ivano-Frankivsk Oblast,38,35-44,male,ukrainian,masters-or-higher,120001-240000,stay
Lviv Oblast,20,16-24,male,ukrainian,secondary,120001-240000,different
Vinnytsya Oblast,51,45-54,female,ukrainian,post-secondary,120001-240000,stay
Cherkasy Oblast,20,16-24,male,ukrainian,bachelors,120001-240000,flee
Dnipropetrovsk Oblast,19,16-24,male,russian,bachelors,120001-240000,flee
Luhansk,50,45-54,male,russian,bachelors,120001-240000,different
Donetsk Oblast,43,35-44,male,russian,post-secondary,120001-240000,flee
Kherson Oblast,50,45-54,male,russian,masters-or-higher,120001-240000,different
Donetsk Oblast,23,16-24,male,russian,bachelors,120001-240000,flee
Sumy,21,16-24,female,ukrainian,post-secondary,120001-240000,stay
Odessa,18,16-24,female,ukrainian,bachelors,120001-240000,stay
Donetsk Oblast,55,55-64,male,russian,post-secondary,120001-240000,different
Sebastopol City,27,25-34,female,russian,post-secondary,120001-240000,flee
Kyiv City,26,25-34,male,russian,bachelors,120001-240000,different
Kyiv City,21,16-24,male,ukrainian,bachelors,120001-240000,flee
Kyiv City,20,16-24,female,ukrainian,masters-or-higher,120001-240000,flee
Kyiv City,18,16-24,male,ukrainian,masters-or-higher,120001-240000,stay
Vinnytsya Oblast,26,25-34,female,ukrainian,masters-or-higher,120001-240000,different
Poltava Oblast,42,35-44,male,russian,post-secondary,120001-240000,flee
Odessa,28,25-34,male,ukrainian,bachelors,120001-240000,different
Kyiv City,60,55-64,male,ukrainian,masters-or-higher,120001-240000,different
Lviv Oblast,25,25-34,female,ukrainian,secondary,120001-240000,flee
Zaporizhzhya Oblast,27,25-34,male,russian,bachelors,120001-240000,flee
Kyiv City,30,25-34,male,ukrainian,masters-or-higher,120001-240000,flee
Crimea,25,25-34,male,russian,secondary,120001-240000,stay
Dnipropetrovsk Oblast,35,35-44,male,ukrainian,bachelors,120001-240000,flee
Cherkasy Oblast,33,25-34,male,ukrainian,bachelors,120001-240000,stay
Kirovohrad Oblast,38,35-44,male,ukrainian,masters-or-higher,120001-240000,different
Rivne,40,35-44,male,ukrainian,bachelors,120001-240000,stay
Kyiv Oblast,27,25-34,female,ukrainian,masters-or-higher,120001-240000,flee
Zaporizhzhya Oblast,56,55-64,male,russian,bachelors,120001-240000,stay
Poltava Oblast,35,35-44,male,ukrainian,secondary,120001-240000,stay
Dnipropetrovsk Oblast,44,35-44,male,ukrainian,bachelors,120001-240000,flee
Kyiv City,20,16-24,female,ukrainian,secondary,120001-240000,different
Donetsk Oblast,42,35-44,male,ukrainian,bachelors,120001-240000,flee
Kyiv City,30,25-34,male,russian,post-secondary,120001-240000,flee
Donetsk Oblast,98,65+,male,russian,post-secondary,120001-240000,flee
Kyiv Oblast,22,16-24,male,russian,bachelors,120001-240000,flee
Poltava Oblast,98,65+,male,russian,bachelors,120001-240000,different
Ternopil Oblast,20,16-24,male,russian,masters-or-higher,120001-240000,different
Kyiv City,19,16-24,female,ukrainian,bachelors,120001-240000,stay
Dnipropetrovsk Oblast,24,16-24,female,ukrainian,bachelors,120001-240000,stay
Odessa,63,55-64,male,ukrainian,masters-or-higher,120001-240000,flee
Poltava Oblast,22,16-24,male,ukrainian,post-secondary,120001-240000,flee
Vinnytsya Oblast,16,16-24,female,ukrainian,masters-or-higher,120001-240000,different
Dnipropetrovsk Oblast,19,16-24,male,ukrainian,secondary,120001-240000,stay
Dnipropetrovsk Oblast,18,16-24,female,russian,bachelors,120001-240000,stay
Kirovohrad Oblast,28,25-34,female,ukrainian,masters-or-higher,120001-240000,stay
Kyiv City,25,25-34,male,russian,primary,120001-240000,flee
Donetsk Oblast,37,35-44,male,russian,bachelors,120001-240000,stay
Mykolayiv Oblast,20,16-24,male,ukrainian,secondary,120001-240000,flee
Donetsk Oblast,31,25-34,male,russian,masters-or-higher,120001-240000,flee
Kyiv City,20,16-24,male,russian,bachelors,120001-240000,flee
Kyiv City,28,25-34,female,russian,bachelors,120001-240000,flee
Kyiv City,20,16-24,male,ukrainian,bachelors,120001-240000,stay
Kyiv City,28,25-34,male,ukrainian,post-secondary,120001-240000,stay
Vinnytsya Oblast,35,35-44,male,ukrainian,primary,120001-240000,different
Dnipropetrovsk Oblast,57,55-64,male,ukrainian,post-secondary,120001-240000,stay
Dnipropetrovsk Oblast,23,16-24,male,russian,bachelors,120001-240000,different
Poltava Oblast,33,25-34,male,ukrainian,post-secondary,120001-240000,different
Kyiv City,22,16-24,male,russian,post-secondary,120001-240000,stay
Lviv Oblast,22,16-24,male,ukrainian,masters-or-higher,120001-240000,flee
Kyiv City,33,25-34,female,ukrainian,bachelors,120001-240000,stay
Cherkasy Oblast,24,16-24,male,ukrainian,masters-or-higher,120001-240000,different
Ternopil Oblast,98,65+,female,ukrainian,masters-or-higher,120001-240000,different
Zaporizhzhya Oblast,46,45-54,male,ukrainian,primary,120001-240000,flee
Odessa,32,25-34,male,russian,post-secondary,120001-240000,flee
Crimea,22,16-24,female,russian,post-secondary,120001-240000,flee
Kyiv Oblast,20,16-24,male,ukrainian,bachelors,120001-240000,flee
Kyiv City,26,25-34,male,russian,masters-or-higher,120001-240000,stay
Dnipropetrovsk Oblast,38,35-44,male,ukrainian,bachelors,120001-240000,stay
Kyiv City,63,55-64,female,ukrainian,masters-or-higher,120001-240000,different
Poltava Oblast,24,16-24,male,ukrainian,post-secondary,120001-240000,different
Vinnytsya Oblast,41,35-44,male,ukrainian,post-secondary,120001-240000,different
Kyiv City,21,16-24,male,russian,secondary,120001-240000,stay
Rivne,28,25-34,male,ukrainian,masters-or-higher,120001-240000,stay
Vinnytsya Oblast,19,16-24,male,ukrainian,masters-or-higher,120001-240000,flee
Lviv Oblast,27,25-34,female,ukrainian,masters-or-higher,120001-240000,stay
Donetsk Oblast,36,35-44,male,russian,secondary,120001-240000,flee
Ivano-Frankivsk Oblast,19,16-24,male,ukrainian,masters-or-higher,120001-240000,flee
Dnipropetrovsk Oblast,22,16-24,male,ukrainian,masters-or-higher,120001-240000,stay
Vinnytsya Oblast,18,16-24,female,ukrainian,post-secondary,120001-240000,stay
Kirovohrad Oblast,49,45-54,male,ukrainian,masters-or-higher,120001-240000,flee
Vinnytsya Oblast,32,25-34,female,ukrainian,masters-or-higher,120001-240000,different
Dnipropetrovsk Oblast,31,25-34,female,ukrainian,masters-or-higher,120001-240000,stay
Kyiv City,34,25-34,female,ukrainian,bachelors,120001-240000,stay
Vinnytsya Oblast,24,16-24,female,ukrainian,masters-or-higher,120001-240000,different
Dnipropetrovsk Oblast,25,25-34,male,ukrainian,bachelors,120001-240000,flee
Odessa,36,35-44,female,russian,masters-or-higher,120001-240000,flee
Chernihiv,16,16-24,male,russian,post-secondary,120001-240000,flee
Vinnytsya Oblast,37,35-44,female,ukrainian,bachelors,120001-240000,stay
Donetsk Oblast,98,65+,male,russian,secondary,120001-240000,different
Donetsk Oblast,29,25-34,male,russian,post-secondary,120001-240000,flee
Rivne,46,45-54,male,ukrainian,masters-or-higher,120001-240000,stay
Zaporizhzhya Oblast,48,45-54,male,ukrainian,masters-or-higher,120001-240000,stay
Odessa,28,25-34,female,ukrainian,secondary,120001-240000,different
Luhansk,18,16-24,male,russian,post-secondary,120001-240000,flee
Dnipropetrovsk Oblast,33,25-34,male,russian,bachelors,120001-240000,stay
Dnipropetrovsk Oblast,24,16-24,male,ukrainian,masters-or-higher,120001-240000,stay
Ternopil Oblast,50,45-54,male,ukrainian,masters-or-higher,120001-240000,stay
Ivano-Frankivsk Oblast,25,25-34,male,ukrainian,bachelors,120001-240000,stay
Crimea,33,25-34,male,russian,bachelors,120001-240000,different
Kyiv City,32,25-34,female,ukrainian,bachelors,120001-240000,stay
Kyiv City,19,16-24,male,russian,bachelors,120001-240000,stay
Vinnytsya Oblast,34,25-34,female,ukrainian,masters-or-higher,120001-240000,flee
Dnipropetrovsk Oblast,47,45-54,female,russian,bachelors,120001-240000,stay
Dnipropetrovsk Oblast,22,16-24,male,russian,masters-or-higher,120001-240000,different
Kharkiv,47,45-54,female,russian,masters-or-higher,120001-240000,flee
Vinnytsya Oblast,61,55-64,male,ukrainian,masters-or-higher,120001-240000,stay
Vinnytsya Oblast,25,25-34,male,ukrainian,masters-or-higher,120001-240000,stay
Lviv Oblast,18,16-24,male,ukrainian,secondary,120001-240000,different
Zaporizhzhya Oblast,39,35-44,male,ukrainian,bachelors,120001-240000,stay
Kyiv City,34,25-34,male,ukrainian,bachelors,120001-240000,stay
Crimea,32,25-34,male,russian,bachelors,120001-240000,flee
Kyiv City,18,16-24,male,russian,post-secondary,120001-240000,stay
Kyiv City,33,25-34,female,russian,masters-or-higher,120001-240000,stay
Kyiv City,18,16-24,male,ukrainian,secondary,120001-240000,different
Donetsk Oblast,29,25-34,female,russian,secondary,120001-240000,flee
Kharkiv,17,16-24,female,ukrainian,secondary,120001-240000,different
Transcarpathia,52,45-54,male,ukrainian,masters-or-higher,120001-240000,flee
Khmelnytskyi Oblast,55,55-64,male,russian,masters-or-higher,120001-240000,different
Kherson Oblast,25,25-34,male,russian,post-secondary,120001-240000,flee
Kirovohrad Oblast,34,25-34,male,ukrainian,bachelors,120001-240000,different
Dnipropetrovsk Oblast,24,16-24,male,ukrainian,masters-or-higher,120001-240000,different
Kyiv City,58,55-64,male,ukrainian,masters-or-higher,120001-240000,stay
Kyiv City,37,35-44,female,ukrainian,bachelors,120001-240000,stay
Dnipropetrovsk Oblast,98,65+,male,ukrainian,masters-or-higher,120001-240000,stay
Poltava Oblast,18,16-24,female,ukrainian,secondary,120001-240000,flee
Cherkasy Oblast,21,16-24,male,ukrainian,post-secondary,120001-240000,stay
Zaporizhzhya Oblast,22,16-24,male,ukrainian,post-secondary,120001-240000,stay
Odessa,26,25-34,female,russian,post-secondary,120001-240000,different
Kyiv City,25,25-34,male,ukrainian,bachelors,120001-240000,flee
Chernivtsi Oblast,29,25-34,male,ukrainian,masters-or-higher,120001-240000,stay
Odessa,29,25-34,male,ukrainian,secondary,120001-240000,stay
Volyn,52,45-54,male,ukrainian,post-secondary,120001-240000,stay
Sebastopol City,45,45-54,female,russian,post-secondary,120001-240000,different
Kyiv City,43,35-44,male,ukrainian,secondary,120001-240000,flee
Ternopil Oblast,49,45-54,female,ukrainian,bachelors,120001-240000,stay
Sebastopol City,98,65+,male,russian,masters-or-higher,120001-240000,flee
Luhansk,33,25-34,male,ukrainian,post-secondary,120001-240000,stay
Kyiv City,42,35-44,male,russian,bachelors,120001-240000,stay
Sebastopol City,45,45-54,male,russian,bachelors,120001-240000,stay
Transcarpathia,26,25-34,female,russian,bachelors,120001-240000,stay
Luhansk,18,16-24,female,ukrainian,secondary,120001-240000,stay
Chernivtsi Oblast,18,16-24,male,russian,primary,120001-240000,stay
Transcarpathia,16,16-24,female,ukrainian,secondary,120001-240000,stay
Zhytomyr,36,35-44,female,russian,masters-or-higher,120001-240000,flee
Cherkasy Oblast,47,45-54,male,ukrainian,secondary,120001-240000,flee
Kyiv City,38,35-44,male,ukrainian,secondary,120001-240000,different
